EmployeeId,GenderCode,GenderName,Dateofbirth,Age,Level1Code,Level2Code,Level3Code,Level4Code,JobCategoryCode,UnionMember,UnionStatus,DateOfAppointment,DesignationCode,tenure,Salary,Overtime,A_ResignedDate,TravelModeCode,TravelMethodName,A_DateOfRetirement,Deleted,deleted_resign,GradeCode,EmploymentTypeCode,Category,AvgFinalScore,PromotionTypeName,PromotionTypeId,maxeffectdate,ResignationTypeId,ResignationTypeName,WorkingYears,NoOfCompaniesWorked,Average_LeavesPerMonth,ReportingPersonCode,ReportingDesignationCode,PromotionDate,MonthsinceLastpromotion2,OldDesignationCode,OldCategoryCode,OldGradeCode,latestpromotionday,allocated_leaves,usedleaves,leave_PercentagALL,AbsentiesmPercentage,AverageMonthlyWorkhrs,AvgOverTimeRate,avgyearlyhrsholidyhrsworked,HolidayworkingPercentage,avgyearlynoOfHolidaysworked,avgyearlywkndhrsworked,avgnofwkndsworked,weekendworkingPercentage,AvgShrtlveHrs,expectdwrkhrsR,expectdwrkhrsEX,sumofworkhrsRe,sumofworkhrsEx,Workinghrpercentage,sumwrhrsR,sumwrhrsE,noofweekendswrkd6E,noofweekendswrkd6R,wkendwrkpercntage,Noofweekendsworked6,sumwrholihre,sumwrholihrex,holidywrkpercentage6,noofholidaysworked6,sumOverTimeRate6monthsE,sumOverTimeRate6monthsR,overtimewrknpercntage,AbsentiesmPercentageE,AbsentiesmPercentageR,AbsenteeismPercntage6,allocatedleaves,usedleaves,LeavePercntagenew,exs,sre,sumofshrtlvehrs6
815AE100-73FB-42EA-B648-08CB3315352B,1,Male,30/4/1993,30,NULL,7,1012,NULL,134,0,0,1/5/2018,8973,0,0,0,29/6/2018,0,NULL,30/4/2053,1,0,0,47,PROB,NULL,NULL,NULL,30/6/2018,2,Voluntary Resignation ,NULL,NULL,NULL,17104,8991,NULL,NULL,NULL,NULL,NULL,NULL,1.5,0,0,52.85714286,71.4,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,0,0,NULL,NULL,NULL
EE152A06-8F71-491C-8C88-08F16F1F91C4,2,Female,24/6/1992,31,NULL,6,1001,NULL,131,0,0,2/1/2023,9125,0,0,0,1/1/1901,0,NULL,24/6/2047,0,NULL,0,47,PROB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,17098,8956,NULL,NULL,NULL,NULL,NULL,NULL,1,0.5,50,17.24137931,58.7,0,NULL,0,NULL,0,1,12.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0.5,50,NULL,NULL,NULL
9FE6001A-B1D0-4743-99AD-091A36507F3C,2,Female,13/11/1996,27,NULL,7,1011,NULL,139,0,0,20/4/2021,8976,0,0,0,8/2/2022,2,Private Vehicle ,27/4/2076,1,0,0,47,PROB,NULL,NULL,NULL,9/2/2022,2,Voluntary Resignation ,NULL,NULL,1.142857143,17127,8986,NULL,NULL,NULL,NULL,NULL,NULL,19,13,68.42105263,32.27272727,71.4,0,NULL,0,NULL,NULL,NULL,0,NULL,954,NULL,474.3099985,NULL,49.71802919,NULL,NULL,NULL,NULL,49.71802919,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,26.41509434,26.41509434,19,13,68.42105263,NULL,NULL,NULL
E0C5B930-CE04-4004-BC2A-0AECDF024C3A,1,Male,5/7/2021,32,NULL,6,1006,34,134,0,0,12/7/2021,9011,0,0,0,16/9/2021,0,NULL,1/1/1901,1,0,0,47,PROB,NULL,NULL,NULL,30/9/2021,2,Voluntary Resignation ,1,1,NULL,17348,8944,NULL,NULL,NULL,NULL,NULL,NULL,3,0,0,6.779661017,111.69,0,0,66.66666667,2,NULL,NULL,0,NULL,531,NULL,446.7800007,NULL,84.13935983,NULL,NULL,NULL,NULL,84.13935983,NULL,0,NULL,0,2,NULL,0,0,NULL,6.779661017,6.779661017,3,0,0,NULL,NULL,NULL
E8227B27-3E86-4440-A863-0B3EE73DF4D7,1,Male,2/12/1997,26,NULL,9,NULL,NULL,134,0,0,1/2/2021,9059,1,0,0,2/3/2022,0,NULL,1/1/1901,1,0,0,47,PROB,NULL,NULL,NULL,2/3/2022,2,Voluntary Resignation ,NULL,NULL,NULL,17113,9061,NULL,NULL,NULL,NULL,NULL,NULL,24,0,0,18.09210526,224.95,0,34.93000031,17.64705882,3,0,1,1.754385965,NULL,765,NULL,790.3999987,NULL,103.3202613,NULL,NULL,NULL,NULL,103.3202613,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,8.235294118,8.235294118,24,0,0,NULL,NULL,NULL
7271E0FB-B422-43BB-90FA-0C00FC53CE90,1,Male,28/5/1994,29,NULL,6,NULL,NULL,140,0,0,11/10/2021,9064,1,0,0,1/1/1901,0,NULL,31/12/1899,0,NULL,0,54,PER,NULL,NULL,NULL,NULL,NULL,NULL,0,1,1,17127,8986,NULL,NULL,NULL,NULL,NULL,NULL,50,1,2,13.36032389,137.89,0,0,18.75,3,0,9,8.737864078,NULL,NULL,450,NULL,393.3799987,87.41777749,NULL,0,3,NULL,0,3,NULL,0,0,1,0,NULL,0,12,NULL,12,50,1,2,NULL,NULL,NULL
26D9DD81-B0E1-4957-A03A-0C806E33FED0,2,Female,20/4/1999,24,NULL,6,NULL,NULL,140,0,0,2/1/2023,8976,0,0,0,1/1/1901,2,Private Vehicle ,20/4/2054,0,NULL,0,47,PROB,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,17175,9090,NULL,NULL,NULL,NULL,NULL,NULL,1,0.5,50,10.34482759,70.31,0,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0.5,50,NULL,NULL,NULL
91E60441-67D7-4C21-B515-0E80ED5E587A,1,Male,22/6/1993,30,NULL,6,1006,37,134,0,0,15/7/2021,9053,0,0,0,27/1/2022,2,Private Vehicle ,8/7/2081,1,0,0,47,PROB,NULL,NULL,NULL,25/2/2022,2,Voluntary Resignation ,0,1,1.25,17365,9083,NULL,NULL,NULL,NULL,NULL,NULL,15,5,33.33333333,29.41176471,122.49,0,0,6.666666667,1,NULL,NULL,0,NULL,954,NULL,1047.940003,NULL,109.8469605,NULL,NULL,NULL,NULL,109.8469605,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,4.716981132,4.716981132,15,5,33.33333333,NULL,NULL,NULL
77836CA9-75BA-4F3E-B0E5-110454AF44FE,2,Female,3/9/1993,30,NULL,6,1002,NULL,135,0,0,2/1/2017,8960,2,0,0,21/2/2019,2,Private Vehicle ,3/9/2048,1,0,0,54,PER,23.375,Performance,1,28/2/2019,2,Voluntary Resignation ,-116,2,4.291666667,17201,9043,3/7/2017,19,0,0,0,3/7/2017,91,83.5,91.75824176,29.06764168,234.99,0,NULL,0,NULL,0,2,0.961538462,NULL,954,NULL,579.5599997,NULL,60.75052408,0,NULL,NULL,1,60.75052408,1,NULL,NULL,NULL,NULL,NULL,0,0,NULL,18.86792453,18.86792453,91,83.5,91.75824176,NULL,NULL,NULL
E3FB69D8-BB42-44EA-A535-11C65CB0607A,1,Male,8/4/2020,23,NULL,6,1002,NULL,140,0,0,1/9/2020,8997,2,0,0,1/1/1901,0,NULL,3/9/2080,0,NULL,0,54,PER,72.8,Performance,1,NULL,NULL,NULL,NULL,NULL,2,17113,9061,2/5/2022,9,9099,134,0,2/5/2022,82,8,9.756097561,42.05298013,185.05,0,NULL,0,NULL,0,1,1.219512195,NULL,NULL,963,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,99.06542056,NULL,99.06542056,82,8,9.756097561,NULL,NULL,NULL
